epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.455,3.43838,94.1964,0.98124,0.02663,0.08911,0.00896,0.00242,3.05915,39.8708,0.78682,0.00052,0.00052,0.00052
2,35.5956,3.57408,4.9133,0.99328,0.17924,0.10891,0.06564,0.01447,2.49703,12.2947,0.68403,0.00104951,0.00104951,0.00104951
3,46.3772,3.07813,2.55689,0.91116,0.6755,0.0396,0.0448,0.01181,2.59864,2.56405,0.69761,0.00156832,0.00156832,0.00156832
4,56.8718,3.28121,2.36585,0.92746,0.57375,0.19802,0.22681,0.06539,2.55453,1.93078,0.72862,0.0019406,0.0019406,0.0019406
5,67.2687,3.14403,1.93996,0.92037,0,0,0,0,0,0.14502,0,0.0019208,0.0019208,0.0019208
6,78.2815,3.19773,1.88691,0.9194,8e-05,0.0198,4e-05,1e-05,2.32033,inf,0.61464,0.001901,0.001901,0.001901
7,88.7271,3.12392,2.06918,0.92995,0.75522,0.16832,0.2205,0.05791,2.32772,1.65628,0.64716,0.0018812,0.0018812,0.0018812
8,99.3461,3.00803,1.71627,0.90878,0.00866,0.05941,0.0047,0.0017,2.51469,3.8973,0.72231,0.0018614,0.0018614,0.0018614
9,110.786,3.1275,1.74235,0.91839,0.23139,0.17291,0.1049,0.02769,2.35564,1.90696,0.66026,0.0018416,0.0018416,0.0018416
10,121.745,2.80594,1.87431,0.89344,0.50228,0.22984,0.23236,0.06658,2.67037,2.43214,0.78889,0.0018218,0.0018218,0.0018218
11,132.936,2.90275,1.59769,0.88051,0.1844,0.25743,0.23274,0.06648,2.60248,2.24984,0.72257,0.001802,0.001802,0.001802
12,143.86,2.81885,1.58776,0.87113,0.66383,0.33663,0.41758,0.09195,2.74691,1.86559,0.72501,0.0017822,0.0017822,0.0017822
13,154.686,3.01733,1.85534,0.89866,0.44991,0.34653,0.22514,0.05172,2.85928,1.89978,0.77512,0.0017624,0.0017624,0.0017624
14,170.859,2.88178,1.75397,0.89888,0.01353,0.21782,0.01027,0.00315,2.77582,102.884,0.76605,0.0017426,0.0017426,0.0017426
